flag_id,trip_id,driver_id,timestamp,elapsed_seconds,motion_score,motion_rating,audio_score,audio_rating,stress_score,stress_rating,explanation
28f6d3f5,5a0b835b,5e71beb6,2026-03-08T15:15:46.989805435,0,0.5752,MODERATE,0.2736,CONVERSATIONAL,0.4546,MEDIUM,"Harsh braking/acceleration detected (5.5 m/s²). Motion disturbance detected."
23c40891,5a0b835b,5e71beb6,2026-03-08T15:16:16.988526640,30,0.8903,HARSH,0.4554,CONVERSATIONAL,0.7164,HIGH,"Harsh braking/acceleration detected (7.3 m/s²). Motion disturbance detected."
3c4df22f,5a0b835b,5e71beb6,2026-03-08T15:16:46.988412862,60,0.5794,MODERATE,0.4397,CONVERSATIONAL,0.5235,MEDIUM,"Harsh braking/acceleration detected (5.5 m/s²). Motion disturbance detected."
abd5b0a3,5a0b835b,5e71beb6,2026-03-08T15:17:16.988434155,90,0.7268,HARSH,0.3850,CONVERSATIONAL,0.5901,MEDIUM,"Harsh braking/acceleration detected (6.4 m/s²). Motion disturbance detected."
11952903,5a0b835b,5e71beb6,2026-03-08T15:18:46.988442127,180,0.5357,MODERATE,0.5090,ARGUMENT,0.5250,MEDIUM,"Harsh braking/acceleration detected (5.2 m/s²). Motion disturbance detected."
